name_local,rating,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
La Cocina Tradicional Mexicana,5,Higiene, medidas de sana distancia, excelente calidad de alimentos y maravillosa atenciÃ³n. Vale mucho la pena.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Cocina Tradicional Mexicana,5,Buen lugar para comer y pasar el rato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Cocina Tradicional Mexicana,5,SÃºper delicioso todo y muy econÃ³mico ðŸ¥°â¤ï¸â¤ï¸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Cocina Tradicional Mexicana,4,Muy buen servicio, costos un poco elevados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Cocina Tradicional Mexicana,3,Comida rica, buen precio, atenciÃ³n normal, la barrita de ensaladas muy rica, el mesero algo chistoso, pero nada molesto, mÃ¡s bien raro, lo malo, son las cremas, pura agua y mucha, eso pueden mejorarlo y serÃ­a muy bueno el lugar, pero si se comer sano se trata, recomendable y por un razonable precio.,,,,,,,,,,,,,,,,,,,,,,
La Cocina Tradicional Mexicana,5,Delicioso, lugar agradable, bueno sazÃ³n y atenciÃ³n excelente!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Cocina Tradicional Mexicana,5,Su comida y la ubicaciÃ³n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Cocina Tradicional Mexicana,4,Genial la comida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Cocina Tradicional Mexicana,4,Precio y calidad muy aceptable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Cocina Tradicional Mexicana,4,Muy buena la comida. La barra de ensaladas muy fresca. Sirven rÃ¡pido. Lo malo: el precio un poco elevado y se llena mucho y hay que esperar porque no hay suficientes mesas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Cocina Tradicional Mexicana,5,Muy recomendable Excelente comida!! Y la atenciÃ³n ni hablar muy bien â˜º,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Cocina Tradicional Mexicana,5,La cocina es un lugar pequeÃ±o con comida casera en 3 tiempos y postre," pero con un plus que la hace especial ""barra de ensaladas"". El sabor de la comida es bueno", los menÃºs variados y con ingredientes de buena calidad, pero el hecho de tener una barra de ensaladas para el segundo tiempo es sÃºper sobre todo porque te puedes servir vegetales frescos con semillas y aderezos deliciosos. El menÃº incluye agua y postre, el precio por persona estÃ¡ entre $75 y $85 pesos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Cocina Tradicional Mexicana,5,Excelente sazÃ³n, menÃº y precios. Agradable ambiente. Altamente recomendable. La barra de ensaladas es buenÃ­sima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Cocina Tradicional Mexicana,5,La comida y presentaciÃ³n muy buena, les falta mucho servicio y otro mesero.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Cocina Tradicional Mexicana,5,Muy buen lugar para comer, de lunes a viernes hay especialidad en platillos. Costo 85 pesos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Cocina Tradicional Mexicana,5,Muy buena calidad de alimentos, buen $,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Cocina Tradicional Mexicana,5,Fonda muy padre para la semana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Cocina Tradicional Mexicana,4,Muy buena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Cocina Tradicional Mexicana,5,Comida muy rica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Cocina Tradicional Mexicana,5,Muy buen lugar para comer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Cocina Tradicional Mexicana,3,Buena comida.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Cocina Tradicional Mexicana,4,Comida corrida muy sabrosa," sobre todo la opciÃ³n de como segundo tiempo la barra de ensaladas frescas y variadas.
Lo Ãºnico malo que ya tarde se va terminando las ensaladas y ya no incluyen lo que se va terminando.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Cocina Tradicional Mexicana,4,Lo que estÃ¡ muy bien es que hay barra de ensaladas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Cocina Tradicional Mexicana,5,Buen sazÃ³n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Cocina Tradicional Mexicana,5,Buen lugar para desayunar o comer. Variedad de platillos y econÃ³mico !!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Cocina Tradicional Mexicana,5,Muy rica comida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Cocina Tradicional Mexicana,4,La comida es excelente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Cocina Tradicional Mexicana,4,Muy rica la comida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Cocina Tradicional Mexicana,5,Muy buen servicio y buen sabor :-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Cocina Tradicional Mexicana,5,Muy buena la comida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Cocina Tradicional Mexicana,5,Las bombas, buenÃ­simas!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Cocina Tradicional Mexicana,3,El mesero se siente peor que el dueÃ±o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Cocina Tradicional Mexicana,4,Sencillamente rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Cocina Tradicional Mexicana,4,Nice little restaurant. Good food, clean facility and friendly staff. I have to agree, the food takes a little longer but it's not terrible.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Cocina Tradicional Mexicana,3,La comida tiene excelente sabor. Buen servicio.El cafÃ© es pÃ©simo, deberÃ­an cambiarlo.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Cocina Tradicional Mexicana,4,Bonito y pequeÃ±o lugar en la colonia postal, buen sabor.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Cocina Tradicional Mexicana,3,La comida es deliciosa, pero Ãºltimamente la limpieza les falla. A veces los trastes no estÃ¡n bien limpios y se nota que a veces la ensalada es del dÃ­a anterior de lo que se les quedÃ³.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Cocina Tradicional Mexicana,5,Bueno para todos los gustos... veganos, carnÃ­voros y omnivoros... Necesitas paciencia y quedarÃ¡s satisfecho.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Cocina Tradicional Mexicana,5,Exelente lugar la comida estÃ¡ de 10 y bien servicio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Cocina Tradicional Mexicana,4,Muy buena comida, saludable y econÃ³mica. El servicio algo lento pero hay que comer con calma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Cocina Tradicional Mexicana,4,Los desayunos muy ricos el Ãºnico inconveniente que veo es que la mÃºsica esta muy fuerte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Cocina Tradicional Mexicana,5,Me encanta la comida de este lugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Cocina Tradicional Mexicana,5,Excelente!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Cocina Tradicional Mexicana,4,Buen sabor y servicio.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Cocina Tradicional Mexicana,5,Una muy buena cerveza artesanal .....,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Cocina Tradicional Mexicana,5,Muy buena cocina enfrente servicio y lo que pides esta sabroso y bien hecho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Cocina Tradicional Mexicana,4,Prueben los desayunos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Cocina Tradicional Mexicana,5,Excelente servicio y rico sazon. Porciones generosas y ambiente muy agradable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Cocina Tradicional Mexicana,4,Buena comida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Cocina Tradicional Mexicana,5,Sin duda una buen lugar para comer, con excelente mÃºsica ambiental, una pequeÃ±a joya en la colonia postal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Cocina Tradicional Mexicana,5,Excelente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Cocina Tradicional Mexicana,4,Excelente comida corrida.  Buena atenciÃ³n aunque, si llevas prisa, no saldrÃ¡s rÃ¡pido.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Cocina Tradicional Mexicana,5,Muy buena la comida," ambiente familiar y mÃºsica en vivo ""inolvidable"".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Cocina Tradicional Mexicana,4,Me gusta ahÃ­ como diario magnÃ­fica presentaciÃ³n comida rica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Cocina Tradicional Mexicana,5,Todo increÃ­ble!  ðŸ˜‰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Cocina Tradicional Mexicana,5,Siempre de la mejor sazÃ³n.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Cocina Tradicional Mexicana,3,El buen sabor de su comida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Cocina Tradicional Mexicana,5,Excelente servicio y un lugar tranquilo con bastante variedad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Cocina Tradicional Mexicana,5,EXCELENTE SERVICIO el mesero excelente la comida DELICIOSA y el lugar super bonito y agradable!  AME LA BARRA DE ENSALADAS Y LOS ADEREZOS y el precio super accesible. Excelente relaciÃ³n costo /calidad seguro regreso!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Cocina Tradicional Mexicana,2,"poner cuidado en el arroz falta sazÃ³n y tiene mucho aceite.
saludos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Cocina Tradicional Mexicana,5,~~barra de ensaladasðŸ‘ðŸ˜Š~,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Candelilla 16,5,Chulada de experiencia.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Candelilla 16,5,Excelente ambiente y deliciosa comida ðŸ˜Š,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Candelilla 16,5,Me gustÃ³ mucho la experiencia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Candelilla 16,5,Rico bueno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Candelilla 16,5,No es un restaurante. Es un #AntiRestaurante . Es una experiencia sensorial y requiere siempre reservaciÃ³n. Los anfitriones lo hacen sentir a uno bienvenido como si fuera mÃ¡s un amigo que un comensal. Cada 2 o 3 meses se presenta un tema nuevo con menÃº nuevo. Somos varios que cada temporada repetimos para vivir cada experiencia.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Candelilla 16,5,Un excelente lugar donde comer y pasar una increÃ­ble experiencia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Candelilla 16,5,Un concepto innovador,  superÃ³ por completo mis expectativas. Comida riquÃ­sima y con historia.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Candelilla 16,5,Una experiencia Ãºnica, muy buena comida, muy buen ambiente. Lleno de sorpresas. Se trata de una cena temÃ¡tica acompaÃ±ada de una narraciÃ³n y experiencia sensorial. Pregunta por la temÃ¡tica de la temporada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Candelilla 16,4,Delicioso!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Candelilla 16,5,Experiencia increÃ­ble, visita obligada.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Candelilla 16,4,Buen lugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Candelilla 16,4,Bien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Candelilla 16,3,Buen lugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Candelilla 16,5,Buen lugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Candelilla 16,5,Buena experiencia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Candelilla 16,5,Maravilloso lugar, el concepto, la comida, la historia, la atenciÃ³n es excelente. Que hermosa pasiÃ³n. Felicidades!!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Candelilla 16,5,Excelente experiencia!!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Candelilla 16,5,Un lugar lleno de sorpresas, atenciÃ³n esmerada, comida y bebida muy buena, una gran experiencia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Candelilla 16,5,HÃ©ctor, equipo y familia  muchas gracias!!! Que chido que buscan rescatar las bases y hacer las cosas bien.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Candelilla 16,5,Es el Anti Restaurante.. lo debes visitar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Candelilla 16,5,Me like,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Candelilla 16,5,El mejor!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Candelilla 16,4,Lugar muy tranquilo, pasa desapercibido, no hay bullicio afuera, es muy cÃ³modo y la comida es muy rica, diferente, podrÃ­a definir que es comida de autor, desde una gordita, pasando por las bebidas, hasta los cÃ³cteles, es una experiencia que se tiene que vivir," algo muy ""hypster""",,,,,,,,,,,,,,,,,,,,,,,,
Candelilla 16,5,El ambiente es acogedor y familiar. La comida es deliciosa y la experiencia sensorial es innovadora. Larga vida a Candelilla 16.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Candelilla 16,5,ElegÃ­ este maravilloso lugar para mi cena de aniversario, sin duda superÃ³ mis expectativas por mucho, muchas gracias HÃ©ctor, Lalo y sus niÃ±as de cocina fueron increÃ­bles :),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Candelilla 16,5,Excelente lugar para celebrar cumpleaÃ±os en un ambiente cordial, privado y delicioso menÃº.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Candelilla 16,2,La comida deja mucho que desear, el lugar estÃ¡ padrisimo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Candelilla 16,5,Muy buena experiencia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Candelilla 16,5,Excelente lugar para vivir la mejor experiencia culinaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Candelilla 16,5,Muy recomendable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Candelilla 16,5,Son un restaurante secreto y cambian su menÃº mes a mes, puedes probar sabores de todo el mundo y a un precio asequible. La gente que trabaja allÃ­ da un trato cÃ¡lido a sus comensales, lo recomiendo altamente si buscan salir de la rutina. Pregunten por sus distintos mrnus, y caras.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Candelilla 16,5,Muy rico y buen ambiente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Candelilla 16,3,Clases variadas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
